                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2899,                 1.7052,                0.93032,                0.67703,                0.41466,                0.43929,                0.29287,                 1.3523,                 1.2067,                0.92546,               0.003331,               0.003331,               0.003331
                      2,                 1.2833,                 0.9279,                0.92174,                0.55378,                0.49466,                0.51015,                 0.3487,                 1.3523,                 1.3076,                0.94599,              0.0065983,              0.0065983,              0.0065983
                      3,                 1.3349,                0.97052,                0.94291,                 0.5446,                0.43074,                0.45041,                0.29255,                  1.482,                 1.5327,                 0.9787,              0.0097997,              0.0097997,              0.0097997
                      4,                 1.3547,                0.98111,                0.95263,                0.56019,                 0.4713,                0.50971,                0.33912,                 1.3958,                 1.3381,                0.96025,               0.009703,               0.009703,               0.009703
                      5,                 1.3059,                0.89006,                0.94194,                0.65498,                0.52348,                0.57016,                0.37943,                 1.3656,                 1.2626,                0.95603,               0.009604,               0.009604,               0.009604
                      6,                 1.2641,                0.83602,                0.93105,                0.62494,                 0.5647,                0.59733,                0.39553,                 1.3599,                 1.1152,                0.95282,               0.009505,               0.009505,               0.009505
                      7,                 1.2317,                0.78917,                0.92604,                0.66171,                0.51976,                0.57585,                0.39069,                 1.3537,                0.96196,                0.94682,               0.009406,               0.009406,               0.009406
                      8,                 1.2149,                0.76689,                0.92079,                0.64424,                 0.5873,                0.62488,                0.42201,                 1.3269,                0.94459,                0.94145,               0.009307,               0.009307,               0.009307
                      9,                 1.1978,                0.74257,                0.91813,                0.64991,                0.55287,                0.60272,                0.40278,                 1.3293,                0.99534,                0.93859,               0.009208,               0.009208,               0.009208
                     10,                 1.1795,                0.71877,                0.91188,                  0.667,                0.56445,                0.61635,                0.41984,                 1.3318,                 1.1467,                 0.9397,               0.009109,               0.009109,               0.009109
                     11,                 1.1627,                0.70117,                0.90942,                0.67204,                0.53824,                 0.5983,                0.41367,                 1.3121,                0.90586,                0.93601,                0.00901,                0.00901,                0.00901
                     12,                 1.1483,                0.68703,                0.90277,                 0.6494,                0.58115,                0.64756,                 0.4481,                 1.2987,                0.88499,                0.93248,               0.008911,               0.008911,               0.008911
                     13,                 1.1374,                0.67476,                0.89992,                0.66267,                0.58484,                0.63489,                0.43467,                 1.3089,                0.86575,                0.93222,               0.008812,               0.008812,               0.008812
                     14,                 1.1259,                0.65603,                0.89707,                0.68806,                0.58118,                0.62865,                0.43829,                 1.2893,                0.89209,                0.92779,               0.008713,               0.008713,               0.008713
                     15,                 1.1214,                 0.6504,                 0.8975,                0.65708,                 0.5805,                0.62544,                0.43435,                 1.2997,                0.89272,                0.93164,               0.008614,               0.008614,               0.008614
                     16,                 1.1054,                0.63454,                0.89154,                0.66909,                0.57969,                0.64551,                0.44895,                 1.2955,                0.87811,                0.92711,               0.008515,               0.008515,               0.008515
                     17,                 1.1021,                0.62556,                0.89247,                 0.6684,                0.58863,                0.62547,                0.43934,                 1.2793,                0.85264,                0.92168,               0.008416,               0.008416,               0.008416
                     18,                 1.0922,                 0.6205,                0.88931,                0.66535,                0.60592,                0.63055,                0.43939,                 1.2789,                0.87689,                0.92024,               0.008317,               0.008317,               0.008317
                     19,                 1.0867,                0.61257,                0.88839,                0.69903,                0.57571,                0.63057,                0.44296,                 1.2774,                0.86596,                0.92091,               0.008218,               0.008218,               0.008218
                     20,                 1.0809,                0.60393,                0.88519,                0.66489,                0.60072,                0.63802,                0.44358,                 1.2765,                 0.8553,                0.92435,               0.008119,               0.008119,               0.008119
                     21,                 1.0676,                0.59324,                 0.8846,                0.68731,                0.58178,                0.63453,                0.44686,                 1.2615,                  0.799,                0.92201,                0.00802,                0.00802,                0.00802
                     22,                 1.0685,                0.58752,                0.88247,                0.66484,                0.60697,                0.63952,                0.45183,                 1.2717,                0.81866,                0.92217,               0.007921,               0.007921,               0.007921
                     23,                 1.0632,                0.58466,                0.88066,                0.68377,                 0.5854,                0.63825,                 0.4535,                 1.2544,                0.81378,                0.91844,               0.007822,               0.007822,               0.007822
                     24,                 1.0522,                0.57464,                0.87954,                0.68079,                0.59873,                 0.6442,                0.45284,                 1.2645,                0.81465,                0.92023,               0.007723,               0.007723,               0.007723
                     25,                 1.0463,                0.57157,                0.87793,                0.67372,                0.61792,                0.64013,                 0.4498,                 1.2556,                0.81119,                0.91924,               0.007624,               0.007624,               0.007624
                     26,                 1.0433,                0.56488,                 0.8761,                0.68475,                0.60278,                0.63623,                0.45037,                 1.2591,                0.83706,                0.91978,               0.007525,               0.007525,               0.007525
                     27,                 1.0404,                0.55875,                0.87641,                0.68186,                0.60892,                0.64107,                 0.4556,                 1.2737,                0.84221,                0.92287,               0.007426,               0.007426,               0.007426
                     28,                 1.0339,                0.55635,                0.87675,                0.66525,                0.63577,                0.64738,                0.45964,                 1.2698,                0.84766,                0.92007,               0.007327,               0.007327,               0.007327
                     29,                 1.0252,                0.54917,                0.87351,                0.65904,                0.63707,                0.65417,                0.46063,                 1.2662,                0.83263,                0.92138,               0.007228,               0.007228,               0.007228
                     30,                 1.0195,                0.54524,                0.87212,                0.67602,                0.60217,                0.64667,                0.45876,                 1.2629,                0.82381,                 0.9191,               0.007129,               0.007129,               0.007129
                     31,                 1.0135,                0.54139,                0.87146,                0.66841,                0.60937,                0.63753,                 0.4502,                 1.2643,                0.83452,                0.92052,                0.00703,                0.00703,                0.00703
                     32,                  1.014,                0.53743,                0.87156,                0.62872,                0.63862,                0.64006,                0.45337,                 1.2605,                0.84111,                 0.9212,               0.006931,               0.006931,               0.006931
                     33,                 1.0095,                0.53423,                0.86932,                 0.6452,                 0.6356,                0.63878,                0.45264,                 1.2588,                0.84292,                0.92033,               0.006832,               0.006832,               0.006832
                     34,                0.99711,                0.52626,                0.86703,                0.67206,                0.61885,                0.64606,                0.45642,                 1.2553,                0.85292,                0.91919,               0.006733,               0.006733,               0.006733
                     35,                 1.0003,                0.52393,                0.86765,                0.66267,                0.63008,                0.64673,                0.45737,                 1.2526,                0.84601,                 0.9176,               0.006634,               0.006634,               0.006634
                     36,                0.99739,                0.52378,                0.86769,                0.71003,                0.59594,                 0.6478,                0.45929,                 1.2559,                0.84842,                0.91843,               0.006535,               0.006535,               0.006535
                     37,                0.99253,                0.51831,                0.86607,                 0.6908,                0.60998,                0.64428,                0.45593,                 1.2556,                0.85279,                0.91859,               0.006436,               0.006436,               0.006436
                     38,                0.98679,                0.51209,                 0.8646,                0.66244,                0.62165,                0.64889,                 0.4594,                 1.2554,                0.86344,                0.91825,               0.006337,               0.006337,               0.006337
                     39,                0.98391,                 0.5104,                0.86353,                0.69622,                0.59966,                0.65092,                 0.4598,                 1.2549,                0.86326,                0.91862,               0.006238,               0.006238,               0.006238
                     40,                0.97929,                0.50843,                0.86177,                0.67382,                0.60899,                0.65058,                0.46076,                 1.2553,                 0.8625,                0.91868,               0.006139,               0.006139,               0.006139
                     41,                0.97119,                0.50229,                0.86151,                 0.6768,                0.60592,                 0.6524,                0.46096,                 1.2557,                0.86657,                0.91933,                0.00604,                0.00604,                0.00604
                     42,                0.96911,                0.50117,                0.86142,                0.68669,                0.60361,                0.65055,                0.46036,                 1.2568,                0.86597,                0.91978,               0.005941,               0.005941,               0.005941
                     43,                0.96627,                0.49876,                0.86052,                0.69142,                0.60412,                0.65031,                0.46023,                 1.2578,                0.86684,                0.91965,               0.005842,               0.005842,               0.005842
                     44,                0.96333,                0.49513,                0.85939,                0.69031,                0.60451,                0.64974,                0.46053,                 1.2575,                0.87027,                0.91918,               0.005743,               0.005743,               0.005743
                     45,                0.96105,                0.49145,                0.85937,                0.69748,                0.59983,                0.65271,                0.46262,                 1.2572,                0.87048,                0.91898,               0.005644,               0.005644,               0.005644
                     46,                0.95778,                0.49148,                0.85761,                0.69157,                0.60518,                0.65206,                0.46242,                 1.2569,                0.87362,                0.91863,               0.005545,               0.005545,               0.005545
                     47,                0.95518,                 0.4847,                0.85685,                 0.6942,                0.60165,                0.65103,                0.46292,                 1.2563,                0.87299,                 0.9186,               0.005446,               0.005446,               0.005446
                     48,                0.94663,                0.48136,                 0.8562,                0.69444,                0.60101,                0.64923,                0.46179,                 1.2552,                0.87565,                0.91812,               0.005347,               0.005347,               0.005347
                     49,                0.94167,                0.47817,                0.85549,                0.70082,                 0.5991,                0.64894,                0.46119,                 1.2548,                0.87719,                0.91804,               0.005248,               0.005248,               0.005248
                     50,                0.94145,                0.47642,                0.85587,                0.69024,                0.60461,                0.64801,                0.46086,                 1.2553,                0.87878,                0.91838,               0.005149,               0.005149,               0.005149
                     51,                0.93894,                0.47397,                0.85355,                 0.6864,                0.60494,                0.64725,                0.46118,                 1.2553,                0.88029,                0.91845,                0.00505,                0.00505,                0.00505
